paper_id,title,summary,authors,authors_joined,categories,categories_joined,primary_category,published,updated,abs_url,pdf_url,age_days,summary_chars,text_for_embedding
10.22158/eltls.v8n3p21,A Multimodal Discourse Analysis of Interpersonal Meaning in New-Type Farmers' Agricultural Promotion Short Videos on Douyin,"This study selects 15 short videos published over the past year by new-type farmers (xin nong ren) on Douyin as research corpus. It adopts systemic functional grammar’s interpersonal meaning theory, visual grammar’s interactive meaning theory, and intersemiotic complementarity theory as analytical framework, using AntConc and ELAN multimodal video analysis software as research tools. This study employs both quantitative and qualitative methods to examine how agricultural promotion short videos construct interpersonal meaning through multimodal resources. The analysis focuses on three aspects, including verbal mode, visual mode, and their synergistic complementarity. According to the findings, in the verbal mode, declarative sentences account for the highest proportion in the mood system. Median-value and low-value modal expressions reach 92.8% in the modality system, which helps present information in a relative neutral and tentative manner and contributes to shaping a credible image of new-type farmers and maintaining audience trust. In the visual mode, demand image, medium close-up and medium shots, horizontal angle, and high-modality color expressions are commonly used. These visual choices effectively reduce the social distance between creators and audiences, support a more equal interpersonal relationship and encourage emotional engagement. In terms of intersemiotic complementarity between verbal and visual modes, attitudinal convergence, attitudinal divergence, and appellative reinforcement can all be observed. Among them, attitudinal convergence occurs most often, where verbal and visual elements work mutually to reinforce interpersonal meaning, improve coherence and optimize the audience’s viewing experience. This study enriches empirical research on multimodal discourse analysis in the context of agricultural promotion short videos, and provides implications for the interactive design and content production of such videos.",['Yixin Chen'],Yixin Chen,[],,uncategorized,2027-05-07,2026-05-07,https://doi.org/10.22158/eltls.v8n3p21,https://www.scholink.org/ojs/index.php/eltls/article/viewFile/57573/13483,0,1965,"Title: A Multimodal Discourse Analysis of Interpersonal Meaning in New-Type Farmers' Agricultural Promotion Short Videos on Douyin
Authors: Yixin Chen
Published: 2027-05-07
Categories: 
Summary: This study selects 15 short videos published over the past year by new-type farmers (xin nong ren) on Douyin as research corpus. It adopts systemic functional grammar’s interpersonal meaning theory, visual grammar’s interactive meaning theory, and intersemiotic complementarity theory as analytical framework, using AntConc and ELAN multimodal video analysis software as research tools. This study employs both quantitative and qualitative methods to examine how agricultural promotion short videos construct interpersonal meaning through multimodal resources. The analysis focuses on three aspects, including verbal mode, visual mode, and their synergistic complementarity. According to the findings, in the verbal mode, declarative sentences account for the highest proportion in the mood system. Median-value and low-value modal expressions reach 92.8% in the modality system, which helps present information in a relative neutral and tentative manner and contributes to shaping a credible image of new-type farmers and maintaining audience trust. In the visual mode, demand image, medium close-up and medium shots, horizontal angle, and high-modality color expressions are commonly used. These visual choices effectively reduce the social distance between creators and audiences, support a more equal interpersonal relationship and encourage emotional engagement. In terms of intersemiotic complementarity between verbal and visual modes, attitudinal convergence, attitudinal divergence, and appellative reinforcement can all be observed. Among them, attitudinal convergence occurs most often, where verbal and visual elements work mutually to reinforce interpersonal meaning, improve coherence and optimize the audience’s viewing experience. This study enriches empirical research on multimodal discourse analysis in the context of agricultural promotion short videos, and provides implications for the interactive design and content production of such videos."
10.26877/jipmat.v11i1.2279,PENGARUH MODEL PEMBELAJARAN PROBLEM BASED LEARNING BERBANTUAN MEDIA GASINGKAR TERHADAP PEMAHAMAN KONSEP GARIS SINGGUNG LINGKARAN SISWA KELAS XI SMA PGRI 2 KAYEN,"Pemahaman siswa terhadap ide-ide dasar adalah hasil yang diharapkan dari penyelidikan ini tentang kemanjuran paradigma instruksional Pembelajaran Berbasis Masalah (PBL) dengan penggunaan alat pedagogis. Pernyataan masalah riset ini adalah: 1. Apakah pendekatan pembelajaran Pembelajaran Berbasis Masalah berbantuan Media Gasingkar memengaruhi pemahaman siswa tentang gagasan garis singgung pada lingkaran? 2. Bagaimana model Pembelajaran Berbasis Masalah berbantuan media Gasingkar dibandingkan dengan paradigma pembelajaran Konvensional dalam hal pemahaman konsep? Tujuan penelitian: Berdasarkan tantangan yang diidentifikasi dan formulasinya, berikut ini adalah tujuan penelitian yang diantisipasi: 1. Menyadari bahwa pengertian garis singgung lingkaran dapat dipengaruhi oleh pendekatan pembelajaran Pembelajaran Berbasis Masalah yang dibantu oleh media Gasingkar. 2. Menyadari bahwa, dibandingkan dengan model pembelajaran Konvensional, model Pembelajaran Berbasis Masalah, dengan penggunaan media Gasingkar, meningkatkan pemahaman konseptual. Riset ini memakai pendekatan kuasi-eksperimental yang mencakup kelompok kontrol yang tidak setara. Jumlah siswa maksimum yang diikutsertakan dalam sampel riset ini adalah 32 dari kelas XI–F7 dan 31 dari kelas XI–F9. Temuan penelitian dikumpulkan. Dampak sejumlah 12,8% ditemukan oleh data penelitian pada pendekatan pembelajaran Problem Based Learning dengan penggunaan alat peraga. Temuan uji-T satu sisi kanan mendukung hasil ini, yaitu penerimaan dan penolakannya. Hal ini memperlihatkan bahwa metodologi Problem Based Learning, dengan bantuan bahan ajar, memiliki pengaruh terhadap pemahaman konseptual siswa kelas XI SMA PGRI 2 Kayen.","['Cikal Wulandari Kristi', 'Widya Kusumaningsih', 'Rizky Esti Utami']","Cikal Wulandari Kristi, Widya Kusumaningsih, Rizky Esti Utami",[],,uncategorized,2027-04-27,2026-05-03,https://doi.org/10.26877/jipmat.v11i1.2279,https://journal2.upgris.ac.id/index.php/jipmat/article/download/2279/1493,0,1687,"Title: PENGARUH MODEL PEMBELAJARAN PROBLEM BASED LEARNING BERBANTUAN MEDIA GASINGKAR TERHADAP PEMAHAMAN KONSEP GARIS SINGGUNG LINGKARAN SISWA KELAS XI SMA PGRI 2 KAYEN
Authors: Cikal Wulandari Kristi, Widya Kusumaningsih, Rizky Esti Utami
Published: 2027-04-27
Categories: 
Summary: Pemahaman siswa terhadap ide-ide dasar adalah hasil yang diharapkan dari penyelidikan ini tentang kemanjuran paradigma instruksional Pembelajaran Berbasis Masalah (PBL) dengan penggunaan alat pedagogis. Pernyataan masalah riset ini adalah: 1. Apakah pendekatan pembelajaran Pembelajaran Berbasis Masalah berbantuan Media Gasingkar memengaruhi pemahaman siswa tentang gagasan garis singgung pada lingkaran? 2. Bagaimana model Pembelajaran Berbasis Masalah berbantuan media Gasingkar dibandingkan dengan paradigma pembelajaran Konvensional dalam hal pemahaman konsep? Tujuan penelitian: Berdasarkan tantangan yang diidentifikasi dan formulasinya, berikut ini adalah tujuan penelitian yang diantisipasi: 1. Menyadari bahwa pengertian garis singgung lingkaran dapat dipengaruhi oleh pendekatan pembelajaran Pembelajaran Berbasis Masalah yang dibantu oleh media Gasingkar. 2. Menyadari bahwa, dibandingkan dengan model pembelajaran Konvensional, model Pembelajaran Berbasis Masalah, dengan penggunaan media Gasingkar, meningkatkan pemahaman konseptual. Riset ini memakai pendekatan kuasi-eksperimental yang mencakup kelompok kontrol yang tidak setara. Jumlah siswa maksimum yang diikutsertakan dalam sampel riset ini adalah 32 dari kelas XI–F7 dan 31 dari kelas XI–F9. Temuan penelitian dikumpulkan. Dampak sejumlah 12,8% ditemukan oleh data penelitian pada pendekatan pembelajaran Problem Based Learning dengan penggunaan alat peraga. Temuan uji-T satu sisi kanan mendukung hasil ini, yaitu penerimaan dan penolakannya. Hal ini memperlihatkan bahwa metodologi Problem Based Learning, dengan bantuan bahan ajar, memiliki pengaruh terhadap pemahaman konseptual siswa kelas XI SMA PGRI 2 Kayen."
10.15294/jvce.v11i2.45302,Implementation of a Deep Learning Approach with the Project Based Learning Model in the Element of Fashion Style and Design Development,"This study aims to examine the effects, improvements, and differences in the skills and work attitudes of students through the integration of a Deep Learning approach with the Project Based Learning PjBL model in the Style and Design Development element of the Fashion Design and Production subject at vocational high schools. The study employed a quasi-experimental method with a pretest posttest non-equivalent control group design. The participants consisted of 41 eleventh grade students from the Fashion Design Program at SMK Widya Praja Ungaran, including 21 students in the control class that implemented conventional PjBL and 20 students in the experimental class that implemented PjBL integrated with the Deep Learning approach. The research instruments consisted of a skills assessment rubric and a work attitude scale that had been validated by six experts using the Percentage of Agreement test. Data were analyzed using the N Gain test and the Independent Sample t Test. The findings indicate that the N Gain value of skills in the experimental class reached 65.4%, which falls within the moderate category and is higher than the control class with 53% in the less effective category. The N Gain value of work attitude in the experimental class reached 92% in the effective category, while the control class obtained 72% in the fairly effective category. The results of the t test show significant differences in skills t = 13.175, p = 0.000 &lt; 0.05 and work attitudes t = 3.212, p = 0.003 &lt; 0.05. These findings indicate that the integration of a Deep Learning approach within the PjBL model significantly improves student skills and work attitudes in vocational fashion design learning.","['Umi Chasanah Turosidah', 'Yeri Sutopo', 'Sri Endah Wahyuningsih', 'Ade Novi Nurul Ihsani']","Umi Chasanah Turosidah, Yeri Sutopo, Sri Endah Wahyuningsih, Ade Novi Nurul Ihsani",[],,uncategorized,2026-12-31,2026-03-08,https://doi.org/10.15294/jvce.v11i2.45302,https://journal.unnes.ac.id/journals/jvce/article/download/45302/8667,0,1706,"Title: Implementation of a Deep Learning Approach with the Project Based Learning Model in the Element of Fashion Style and Design Development
Authors: Umi Chasanah Turosidah, Yeri Sutopo, Sri Endah Wahyuningsih, Ade Novi Nurul Ihsani
Published: 2026-12-31
Categories: 
Summary: This study aims to examine the effects, improvements, and differences in the skills and work attitudes of students through the integration of a Deep Learning approach with the Project Based Learning PjBL model in the Style and Design Development element of the Fashion Design and Production subject at vocational high schools. The study employed a quasi-experimental method with a pretest posttest non-equivalent control group design. The participants consisted of 41 eleventh grade students from the Fashion Design Program at SMK Widya Praja Ungaran, including 21 students in the control class that implemented conventional PjBL and 20 students in the experimental class that implemented PjBL integrated with the Deep Learning approach. The research instruments consisted of a skills assessment rubric and a work attitude scale that had been validated by six experts using the Percentage of Agreement test. Data were analyzed using the N Gain test and the Independent Sample t Test. The findings indicate that the N Gain value of skills in the experimental class reached 65.4%, which falls within the moderate category and is higher than the control class with 53% in the less effective category. The N Gain value of work attitude in the experimental class reached 92% in the effective category, while the control class obtained 72% in the fairly effective category. The results of the t test show significant differences in skills t = 13.175, p = 0.000 &lt; 0.05 and work attitudes t = 3.212, p = 0.003 &lt; 0.05. These findings indicate that the integration of a Deep Learning approach within the PjBL model significantly improves student skills and work attitudes in vocational fashion design learning."
10.30656/1intech.v11i2.11359,The Influence of Servqual and Technology Acceptance Model on Maxim Customer Satisfaction,"The increasingly advanced and modern social and cultural development of society has led many people to prefer instant and practical things, such as online transportation. Digital technology has changed people's consumption patterns, including in the transportation industry. This study aims to analyze the influence of SERVQUAL and the Technology Acceptance Model (TAM) on maximizing customer satisfaction. The research employed a quantitative approach, distributing questionnaires to 400 respondents who were Maxim app users. Data analysis was performed using SPSS version 25, including validity and reliability tests, as well as multiple linear regression and path analysis. The results showed that Service Quality, Perceived Usefulness, and Perceived Ease of Use had a significant effect on Customer Satisfaction. Furthermore, Customer Satisfaction also significantly influences the intention to use. Directly, Perceived Usefulness and Service Quality were found to significantly influence Behavior intention to use, while perceived ease of use only significantly influenced behavior intention to use when mediated by customer satisfaction. These findings highlight the significance of service quality, perceived usefulness, and perceived ease of use in fostering customer satisfaction and loyalty among Maxim users.","['Achmad Fazi Alam', 'Dhany Isnaeni Dharmawan']","Achmad Fazi Alam, Dhany Isnaeni Dharmawan",[],,uncategorized,2026-12-31,2026-02-05,https://doi.org/10.30656/1intech.v11i2.11359,https://e-jurnal.lppmunsera.org/index.php/INTECH/article/download/11359/3832,0,1319,"Title: The Influence of Servqual and Technology Acceptance Model on Maxim Customer Satisfaction
Authors: Achmad Fazi Alam, Dhany Isnaeni Dharmawan
Published: 2026-12-31
Categories: 
Summary: The increasingly advanced and modern social and cultural development of society has led many people to prefer instant and practical things, such as online transportation. Digital technology has changed people's consumption patterns, including in the transportation industry. This study aims to analyze the influence of SERVQUAL and the Technology Acceptance Model (TAM) on maximizing customer satisfaction. The research employed a quantitative approach, distributing questionnaires to 400 respondents who were Maxim app users. Data analysis was performed using SPSS version 25, including validity and reliability tests, as well as multiple linear regression and path analysis. The results showed that Service Quality, Perceived Usefulness, and Perceived Ease of Use had a significant effect on Customer Satisfaction. Furthermore, Customer Satisfaction also significantly influences the intention to use. Directly, Perceived Usefulness and Service Quality were found to significantly influence Behavior intention to use, while perceived ease of use only significantly influenced behavior intention to use when mediated by customer satisfaction. These findings highlight the significance of service quality, perceived usefulness, and perceived ease of use in fostering customer satisfaction and loyalty among Maxim users."
10.51153/mf.v20.i2.709,A Moderating and mediating model of innovation performance,"Pioneer performances depend on entrepreneurial orientation for their success. This approach is crucial for converting green intellectual capital into actionable, practical innovations. Therefore, clever management techniques can accelerate and improve overall growth. Before incorporating green intellectual capital into organisational structures, managers should carefully consider its potential. The current study is based on a quantitative method, in which data were gathered from middle managers working at the Defense Housing Authority, one of the renowned construction firms in Karachi. The data were analyzed using PLS-SEM (Partial Least Squares Structural Equation Modeling). The results of the research showed that there is a significant positive relationship between green intellectual capital and entrepreneurial orientation, and between green intellectual capital and the financial and non-financial aspects of innovation performance. It also highlighted the significant role of knowledge management as a moderator between entrepreneurial orientation and innovative performance, whereas, in contrast, green self-efficacy had no moderating effect on the relationship between green intellectual capital and EO. These results have implications for management, as they can help identify specific areas of their industry that require improvement before committing significant financial resources to green intellectual capital. Furthermore, this understanding helps assess a company's readiness to apply these innovations successfully.","['Saira Naz', 'Fatima Liaquat']","Saira Naz, Fatima Liaquat",[],,uncategorized,2026-12-31,2026-05-05,https://doi.org/10.51153/mf.v20.i2.709,https://marketforcesjournal.kiet.edu.pk/index.php/marketforces/article/download/709/456,0,1541,"Title: A Moderating and mediating model of innovation performance
Authors: Saira Naz, Fatima Liaquat
Published: 2026-12-31
Categories: 
Summary: Pioneer performances depend on entrepreneurial orientation for their success. This approach is crucial for converting green intellectual capital into actionable, practical innovations. Therefore, clever management techniques can accelerate and improve overall growth. Before incorporating green intellectual capital into organisational structures, managers should carefully consider its potential. The current study is based on a quantitative method, in which data were gathered from middle managers working at the Defense Housing Authority, one of the renowned construction firms in Karachi. The data were analyzed using PLS-SEM (Partial Least Squares Structural Equation Modeling). The results of the research showed that there is a significant positive relationship between green intellectual capital and entrepreneurial orientation, and between green intellectual capital and the financial and non-financial aspects of innovation performance. It also highlighted the significant role of knowledge management as a moderator between entrepreneurial orientation and innovative performance, whereas, in contrast, green self-efficacy had no moderating effect on the relationship between green intellectual capital and EO. These results have implications for management, as they can help identify specific areas of their industry that require improvement before committing significant financial resources to green intellectual capital. Furthermore, this understanding helps assess a company's readiness to apply these innovations successfully."
10.5559/di.di.34.4.01,How do Ethical Leaders Promote Employees' Feedback-Seeking Behaviours? A Serial Mediation Model,"This study explores how ethical leadership fosters employees' feedback-seeking behaviours. Drawing on Self-Determination Theory, the research identifies intrinsic motivation and affective commitment as key mediators through which ethical leaders encourage proactive feedback-seeking. The findings reveal that ethical leadership positively influences employees' intrinsic motivation and affective commitment to the organisation, which in turn enhances their tendency to feedback – an essential behaviour in dynamic and quality-sensitive work environments such as manufacturing. To empirically test this model, a crosssectional survey was conducted among 422 employees at a large manufacturing plant in Manisa, Türkiye. The results support a serial mediation model, confirming that ethical leadership indirectly promotes feedback-seeking behaviours through increased intrinsic motivation and affective commitment.","['Wasim Ul Rehman', 'Mustafa Bekmezci', 'Lütfi Sürücü', 'Kamran Ali', 'Anam Mustansar']","Wasim Ul Rehman, Mustafa Bekmezci, Lütfi Sürücü, Kamran Ali, Anam Mustansar",[],,uncategorized,2026-12-31,2026-02-28,https://doi.org/10.5559/di.di.34.4.01,,0,911,"Title: How do Ethical Leaders Promote Employees' Feedback-Seeking Behaviours? A Serial Mediation Model
Authors: Wasim Ul Rehman, Mustafa Bekmezci, Lütfi Sürücü, Kamran Ali, Anam Mustansar
Published: 2026-12-31
Categories: 
Summary: This study explores how ethical leadership fosters employees' feedback-seeking behaviours. Drawing on Self-Determination Theory, the research identifies intrinsic motivation and affective commitment as key mediators through which ethical leaders encourage proactive feedback-seeking. The findings reveal that ethical leadership positively influences employees' intrinsic motivation and affective commitment to the organisation, which in turn enhances their tendency to feedback – an essential behaviour in dynamic and quality-sensitive work environments such as manufacturing. To empirically test this model, a crosssectional survey was conducted among 422 employees at a large manufacturing plant in Manisa, Türkiye. The results support a serial mediation model, confirming that ethical leadership indirectly promotes feedback-seeking behaviours through increased intrinsic motivation and affective commitment."
10.33425/3066-1226.1195,AI-Based Performance Analysis of Renewable Energy Systems for Sustainable Power Generation,"The growing demand for clean and reliable energy has accelerated the adoption of renewable energysystems such as solar photovoltaic and wind power technologies. However, the inherent variabilityof renewable resources poses significant challenges in performance prediction, system optimization,and reliable power generation. This study presents an artificial intelligence–based framework forperformance analysis of renewable energy systems aimed at supporting sustainable power generation.Operational and environmental data are utilized to develop machine learning models capable ofcapturing complex, nonlinear relationships between system inputs and energy output. The AI-basedapproach is evaluated against conventional analytical methods using performance indicators suchas power output, efficiency, prediction accuracy, and response time. The results demonstrate that AI-driven models significantly improve prediction accuracy, reduce analysis time, and enhance systemperformance assessment under varying operating conditions. The findings highlight the potential ofartificial intelligence to improve operational efficiency, support intelligent energy management, andstrengthen the integration of renewable energy systems into sustainable power networks.","['Vidhya G', 'Suchithra, M', 'Santhosh G', 'Anupama M']","Vidhya G, Suchithra, M, Santhosh G, Anupama M",[],,uncategorized,2026-12-30,2026-03-02,https://doi.org/10.33425/3066-1226.1195,,0,1256,"Title: AI-Based Performance Analysis of Renewable Energy Systems for Sustainable Power Generation
Authors: Vidhya G, Suchithra, M, Santhosh G, Anupama M
Published: 2026-12-30
Categories: 
Summary: The growing demand for clean and reliable energy has accelerated the adoption of renewable energysystems such as solar photovoltaic and wind power technologies. However, the inherent variabilityof renewable resources poses significant challenges in performance prediction, system optimization,and reliable power generation. This study presents an artificial intelligence–based framework forperformance analysis of renewable energy systems aimed at supporting sustainable power generation.Operational and environmental data are utilized to develop machine learning models capable ofcapturing complex, nonlinear relationships between system inputs and energy output. The AI-basedapproach is evaluated against conventional analytical methods using performance indicators suchas power output, efficiency, prediction accuracy, and response time. The results demonstrate that AI-driven models significantly improve prediction accuracy, reduce analysis time, and enhance systemperformance assessment under varying operating conditions. The findings highlight the potential ofartificial intelligence to improve operational efficiency, support intelligent energy management, andstrengthen the integration of renewable energy systems into sustainable power networks."
